,drug,URL
72,A/B Otic,https://www.drugs.com/cons/a-b-otic.html
73,Abacavir,https://www.drugs.com/mtm/abacavir.html
74,Abacavir and lamivudine,https://www.drugs.com/mtm/abacavir-and-lamivudine.html
75,Abacavir and Lamivudine Tablets,https://www.drugs.com/pro/abacavir-and-lamivudine-tablets.html
76,Abacavir Oral Solution,https://www.drugs.com/pro/abacavir-oral-solution.html
77,Abacavir Sulfate Tablets,https://www.drugs.com/pro/abacavir-sulfate-tablets.html
78,"Abacavir, dolutegravir, and lamivudine",https://www.drugs.com/mtm/abacavir-dolutegravir-and-lamivudine.html
79,"Abacavir, Lamivudine and Zidovudine Tablets",https://www.drugs.com/pro/abacavir-lamivudine-and-zidovudine-tablets.html
80,"Abacavir, lamivudine, and zidovudine",https://www.drugs.com/mtm/abacavir-lamivudine-and-zidovudine.html
81,Abaloparatide,https://www.drugs.com/mtm/abaloparatide.html
82,Abametapir,https://www.drugs.com/cons/abametapir.html
83,Abatacept,https://www.drugs.com/abatacept.html
84,Abatuss DMX,https://www.drugs.com/mtm/abatuss-dmx.html
85,Abavite,https://www.drugs.com/pro/abavite.html
86,Abbokinase,https://www.drugs.com/cons/abbokinase.html
87,Abciximab,https://www.drugs.com/cons/abciximab.html
88,Abecma,https://www.drugs.com/abecma.html
89,Abelcet,https://www.drugs.com/mtm/abelcet.html
90,Abemaciclib,https://www.drugs.com/abemaciclib.html
91,Abilify,https://www.drugs.com/abilify.html
92,Abilify (Aripiprazole Intramuscular),https://www.drugs.com/cons/abilify-aripiprazole-intramuscular.html
93,Abilify Asimtufii,https://www.drugs.com/abilify-asimtufii.html
94,Abilify Asimtufii injection,https://www.drugs.com/mtm/abilify-asimtufii-injection.html
95,Abilify Discmelt,https://www.drugs.com/cons/abilify-discmelt.html
96,Abilify Maintena,https://www.drugs.com/abilify-maintena.html
97,Abilify Maintena Prefilled Syringe injection,https://www.drugs.com/mtm/abilify-maintena-prefilled-syringe-injection.html
98,Abilify Mycite,https://www.drugs.com/cons/abilify-mycite.html
99,Abilify MyCite Maintenance Kit oral with sensor,https://www.drugs.com/mtm/abilify-mycite-maintenance-kit-oral-with-sensor.html
100,Abilify MyCite Starter Kit oral with sensor,https://www.drugs.com/mtm/abilify-mycite-starter-kit-oral-with-sensor.html
101,Abiraterone,https://www.drugs.com/abiraterone.html
102,Abiraterone Acetate,https://www.drugs.com/pro/abiraterone-acetate.html
103,Abiraterone and niraparib,https://www.drugs.com/mtm/abiraterone-and-niraparib.html
104,"Abiraterone, micronized",https://www.drugs.com/cons/abiraterone-micronized.html
105,Ablavar,https://www.drugs.com/cons/ablavar.html
106,Ablysinol,https://www.drugs.com/pro/ablysinol.html
107,AbobotulinumtoxinA,https://www.drugs.com/mtm/abobotulinumtoxina.html
108,Abraxane,https://www.drugs.com/abraxane.html
109,Abreva,https://www.drugs.com/mtm/abreva.html
110,Abrilada,https://www.drugs.com/abrilada.html
111,Abrocitinib,https://www.drugs.com/mtm/abrocitinib.html
112,Abrysvo,https://www.drugs.com/abrysvo.html
113,Absorbine Athletes Foot,https://www.drugs.com/mtm/absorbine-athletes-foot.html
114,Absorbine Jr. Antifungal,https://www.drugs.com/mtm/absorbine-jr-antifungal.html
115,Absorica,https://www.drugs.com/mtm/absorica.html
116,Absorica LD,https://www.drugs.com/mtm/absorica-ld.html
117,Abstral,https://www.drugs.com/abstral.html
118,Abstral Sublingual Tablet,https://www.drugs.com/pro/abstral-sublingual-tablet.html
119,About Drugs.com,https://www.drugs.com/support/about.html
120,Advertising policy,https://www.drugs.com/support/advertising.html
121,Attribution & citations,https://www.drugs.com/support/citations.html
122,A-Caro-25,https://www.drugs.com/cons/a-caro-25.html
123,Acacia Gum,https://www.drugs.com/npp/acacia-gum.html
124,Acai,https://www.drugs.com/npc/acai.html
125,Acalabrutinib,https://www.drugs.com/acalabrutinib.html
126,ACAM2000,https://www.drugs.com/acam2000.html
127,Acamprosate,https://www.drugs.com/acamprosate.html
128,Acanya,https://www.drugs.com/acanya.html
129,Acarbose,https://www.drugs.com/mtm/acarbose.html
130,Accelerated Covid-19 Test Kit,https://www.drugs.com/pro/accelerated-covid-19-test-kit.html
131,AccessPak for HIV PEP Basic,https://www.drugs.com/mtm/accesspak-for-hiv-pep-basic.html
132,AccessPak for HIV PEP Expanded with Kaletra,https://www.drugs.com/mtm/accesspak-for-hiv-pep-expanded-with-kaletra.html
133,AccessPak for HIV PEP Expanded with Viracept,https://www.drugs.com/mtm/accesspak-for-hiv-pep-expanded-with-viracept.html
134,Acclean,https://www.drugs.com/pro/acclean.html
135,Acclean 60 Second Fluoride Treatment,https://www.drugs.com/pro/acclean-60-second-fluoride-treatment.html
136,Acclean Plus,https://www.drugs.com/pro/acclean-plus.html
137,Accolate,https://www.drugs.com/mtm/accolate.html
138,Accretropin,https://www.drugs.com/accretropin.html
139,Accrufer,https://www.drugs.com/mtm/accrufer.html
140,Accucaine,https://www.drugs.com/pro/accucaine.html
141,Accuneb,https://www.drugs.com/cons/accuneb.html
142,Accupril,https://www.drugs.com/accupril.html
143,Accuretic,https://www.drugs.com/mtm/accuretic.html
144,Accutane,https://www.drugs.com/accutane.html
145,ACD  A,https://www.drugs.com/pro/acd-a.html
146,ACD Blood Pack Units,https://www.drugs.com/pro/acd-blood-pack-units.html
147,Acebutolol,https://www.drugs.com/mtm/acebutolol.html
148,Acella Antipyrine and Benzocaine Otic Solution,https://www.drugs.com/pro/acella-antipyrine-and-benzocaine-otic-solution.html
149,Aceon,https://www.drugs.com/aceon.html
150,Acephen,https://www.drugs.com/cons/acephen.html
151,Acephen rectal,https://www.drugs.com/mtm/acephen-rectal.html
152,Acerola,https://www.drugs.com/mtm/acerola.html
153,Acetadote,https://www.drugs.com/acetadote.html
154,Acetaminophen,https://www.drugs.com/acetaminophen.html
155,Acetaminophen (Intravenous),https://www.drugs.com/cons/acetaminophen-intravenous.html
156,"Acetaminophen (Oral, Rectal)",https://www.drugs.com/cons/acetaminophen-oral-rectal.html
157,Acetaminophen and benzhydrocodone,https://www.drugs.com/mtm/acetaminophen-and-benzhydrocodone.html
158,Acetaminophen and butalbital,https://www.drugs.com/mtm/acetaminophen-and-butalbital.html
159,Acetaminophen and caffeine,https://www.drugs.com/mtm/acetaminophen-and-caffeine.html
160,Acetaminophen and chlorpheniramine,https://www.drugs.com/mtm/acetaminophen-and-chlorpheniramine.html
161,Acetaminophen and codeine,https://www.drugs.com/mtm/acetaminophen-and-codeine.html
162,Acetaminophen and Codeine Oral Solution,https://www.drugs.com/pro/acetaminophen-and-codeine-oral-solution.html
163,Acetaminophen and dextromethorphan,https://www.drugs.com/mtm/acetaminophen-and-dextromethorphan.html
164,Acetaminophen and diphenhydramine,https://www.drugs.com/mtm/acetaminophen-and-diphenhydramine.html
165,Acetaminophen and ibuprofen,https://www.drugs.com/mtm/acetaminophen-and-ibuprofen.html
166,Acetaminophen and Oxycodone,https://www.drugs.com/acetaminophen-and-oxycodone.html
167,Acetaminophen and phenylephrine,https://www.drugs.com/mtm/acetaminophen-and-phenylephrine.html
168,Acetaminophen and phenyltoloxamine,https://www.drugs.com/mtm/acetaminophen-and-phenyltoloxamine.html
169,Acetaminophen and pseudoephedrine,https://www.drugs.com/mtm/acetaminophen-and-pseudoephedrine.html
170,Acetaminophen and tramadol,https://www.drugs.com/mtm/acetaminophen-and-tramadol.html
171,Acetaminophen Congestion and Pain,https://www.drugs.com/mtm/acetaminophen-congestion-and-pain.html
172,Acetaminophen injection,https://www.drugs.com/mtm/acetaminophen-injection.html
173,Acetaminophen rectal,https://www.drugs.com/mtm/acetaminophen-rectal.html
174,"Acetaminophen, aspirin, and caffeine",https://www.drugs.com/mtm/acetaminophen-aspirin-and-caffeine.html
175,"Acetaminophen, butalbital, and caffeine",https://www.drugs.com/mtm/acetaminophen-butalbital-and-caffeine.html
176,"Acetaminophen, butalbital, caffeine, and codeine",https://www.drugs.com/mtm/acetaminophen-butalbital-caffeine-and-codeine.html
177,"Acetaminophen, caffeine, and dihydrocodeine",https://www.drugs.com/mtm/acetaminophen-caffeine-and-dihydrocodeine.html
178,"Acetaminophen, caffeine, and magnesium salicylate",https://www.drugs.com/mtm/acetaminophen-caffeine-and-magnesium-salicylate.html
179,"Acetaminophen, chlorpheniramine, and dextromethorphan",https://www.drugs.com/mtm/acetaminophen-chlorpheniramine-and-dextromethorphan.html
180,"Acetaminophen, chlorpheniramine, and phenylephrine",https://www.drugs.com/mtm/acetaminophen-chlorpheniramine-and-phenylephrine.html
181,"Acetaminophen, chlorpheniramine, dextromethorphan, and pseudoephedrine",https://www.drugs.com/mtm/acetaminophen-chlorpheniramine-dextromethorphan-and-pseudoephedrine.html
182,"Acetaminophen, dextromethorphan, and diphenhydramine",https://www.drugs.com/mtm/acetaminophen-dextromethorphan-and-diphenhydramine.html
183,"Acetaminophen, dextromethorphan, and doxylamine",https://www.drugs.com/mtm/acetaminophen-dextromethorphan-and-doxylamine.html
184,"Acetaminophen, dextromethorphan, and phenylephrine",https://www.drugs.com/mtm/acetaminophen-dextromethorphan-and-phenylephrine.html
185,"Acetaminophen, dextromethorphan, and triprolidine",https://www.drugs.com/mtm/acetaminophen-dextromethorphan-and-triprolidine.html
186,"Acetaminophen, dextromethorphan, doxylamine, and phenylephrine",https://www.drugs.com/mtm/acetaminophen-dextromethorphan-doxylamine-and-phenylephrine.html
187,"Acetaminophen, dextromethorphan, doxylamine, and pseudoephedrine",https://www.drugs.com/mtm/acetaminophen-dextromethorphan-doxylamine-and-pseudoephedrine.html
188,"Acetaminophen, dextromethorphan, guaifenesin, and phenylephrine",https://www.drugs.com/mtm/acetaminophen-dextromethorphan-guaifenesin-and-phenylephrine.html
189,"Acetaminophen, dextromethorphan, guaifenesin, and pseudoephedrine",https://www.drugs.com/mtm/acetaminophen-dextromethorphan-guaifenesin-and-pseudoephedrine.html
190,"Acetaminophen, dextromethorphan, phenylephrine, and triprolidine",https://www.drugs.com/mtm/acetaminophen-dextromethorphan-phenylephrine-and-triprolidine.html
191,"Acetaminophen, diphenhydramine, and phenylephrine",https://www.drugs.com/mtm/acetaminophen-diphenhydramine-and-phenylephrine.html
192,"Acetaminophen, magnesium salicylate, and pamabrom",https://www.drugs.com/mtm/acetaminophen-magnesium-salicylate-and-pamabrom.html
193,"Acetaminophen, pheniramine, and phenylephrine",https://www.drugs.com/mtm/acetaminophen-pheniramine-and-phenylephrine.html
194,Acetasol HC,https://www.drugs.com/cons/acetasol-hc.html
195,Acetasol HC otic,https://www.drugs.com/mtm/acetasol-hc-otic.html
196,Acetazolamide,https://www.drugs.com/mtm/acetazolamide.html
197,Acetazolamide (Intravenous),https://www.drugs.com/cons/acetazolamide-intravenous.html
198,Acetazolamide Capsules,https://www.drugs.com/pro/acetazolamide-capsules.html
199,Acetazolamide Tablets,https://www.drugs.com/pro/acetazolamide-tablets.html
200,"AcetaZOLAMIDE, acetaZOLAMIDE Sodium",https://www.drugs.com/monograph/acetazolamide-acetazolamide-sodium.html
201,Acetic Acid,https://www.drugs.com/pro/acetic-acid.html
202,Acetic acid and hydrocortisone otic,https://www.drugs.com/mtm/acetic-acid-and-hydrocortisone-otic.html
203,Acetic acid irrigant,https://www.drugs.com/mtm/acetic-acid-irrigant.html
204,Acetic Acid Irrigation,https://www.drugs.com/pro/acetic-acid-irrigation.html
205,Acetic acid otic,https://www.drugs.com/mtm/acetic-acid-otic.html
206,Acetic acid vaginal,https://www.drugs.com/mtm/acetic-acid-vaginal.html
207,Acetohydroxamic acid,https://www.drugs.com/mtm/acetohydroxamic-acid.html
208,"Acetone, isopropyl alcohol, and polysorbate",https://www.drugs.com/cons/acetone-isopropyl-alcohol-and-polysorbate.html
209,Acetylcholine,https://www.drugs.com/monograph/acetylcholine.html
210,Acetylcysteine,https://www.drugs.com/mtm/acetylcysteine.html
211,Acetylcysteine (Intravenous),https://www.drugs.com/cons/acetylcysteine-intravenous.html
212,Acetylcysteine (Oral),https://www.drugs.com/cons/acetylcysteine-oral.html
213,Acetylcysteine inhalation,https://www.drugs.com/mtm/acetylcysteine-inhalation.html
214,Acetylcysteine Injection,https://www.drugs.com/pro/acetylcysteine-injection.html
215,Acetylcysteine Solution,https://www.drugs.com/pro/acetylcysteine-solution.html
216,"Acetylcysteine, Acetylcysteine Lysine(Local, Systemic)",https://www.drugs.com/monograph/acetylcysteine-acetylcysteine-lysine-local-systemic.html
217,Achromycin V,https://www.drugs.com/pro/achromycin-v.html
218,Aci-Jel vaginal,https://www.drugs.com/mtm/aci-jel-vaginal.html
219,Acid Controller Original Strength,https://www.drugs.com/pro/acid-controller-original-strength.html
220,Acid Gone,https://www.drugs.com/mtm/acid-gone.html
221,Acid Gone Extra Strength,https://www.drugs.com/mtm/acid-gone-extra-strength.html
222,Acid Jelly vaginal,https://www.drugs.com/mtm/acid-jelly-vaginal.html
223,Acidic Vaginal Jelly vaginal,https://www.drugs.com/mtm/acidic-vaginal-jelly-vaginal.html
224,Acidophilus,https://www.drugs.com/acidophilus.html
225,Acidophilus Extra Strength,https://www.drugs.com/mtm/acidophilus-extra-strength.html
226,Acidophilus Probiotic Blend,https://www.drugs.com/mtm/acidophilus-probiotic-blend.html
227,Acidophilus with Pectin,https://www.drugs.com/mtm/acidophilus-with-pectin.html
228,Aciphex,https://www.drugs.com/aciphex.html
229,AcipHex Sprinkle,https://www.drugs.com/mtm/aciphex-sprinkle.html
230,Acitretin,https://www.drugs.com/mtm/acitretin.html
231,Acitretin Capsules,https://www.drugs.com/pro/acitretin-capsules.html
232,Ackee,https://www.drugs.com/npp/ackee.html
233,Aclasta,https://www.drugs.com/aclasta.html
234,Aclidinium,https://www.drugs.com/mtm/aclidinium.html
235,Aclidinium and formoterol,https://www.drugs.com/mtm/aclidinium-and-formoterol.html
236,Aclovate,https://www.drugs.com/mtm/aclovate.html
237,Acne,https://www.drugs.com/cons/acne.html
238,Acne 10 Gel,https://www.drugs.com/cons/acne-10-gel.html
239,Acne Foaming Cream Face Cleanser,https://www.drugs.com/mtm/acne-foaming-cream-face-cleanser.html
240,Acne Wash,https://www.drugs.com/cons/acne-wash.html
241,Acne-Clear,https://www.drugs.com/mtm/acne-clear.html
242,Acnevir,https://www.drugs.com/mtm/acnevir.html
243,Acomplia,https://www.drugs.com/acomplia.html
244,Aconite,https://www.drugs.com/npp/aconite.html
245,Acoramidis,https://www.drugs.com/mtm/acoramidis.html
246,Acoramidis Hydrochloride,https://www.drugs.com/monograph/acoramidis-hydrochloride.html
247,Acrivastine and pseudoephedrine,https://www.drugs.com/cons/acrivastine-and-pseudoephedrine.html
248,ACT COVID-19 Antibody Test,https://www.drugs.com/pro/act-covid-19-antibody-test.html
249,ACT Fluoride Rinse,https://www.drugs.com/mtm/act-fluoride-rinse.html
250,Actamin,https://www.drugs.com/mtm/actamin.html
251,Actamin Maximum Strength,https://www.drugs.com/cons/actamin-maximum-strength.html
252,Actemra,https://www.drugs.com/actemra.html
253,Acthar Gel,https://www.drugs.com/mtm/acthar-gel.html
254,Acthar Gel Pre-filled SelfJect Injector,https://www.drugs.com/mtm/acthar-gel-pre-filled-selfject-injector.html
255,"Acthar Gel, H.P.",https://www.drugs.com/mtm/acthar-gel-h-p.html
256,ActHIB,https://www.drugs.com/mtm/acthib.html
257,Acthrel,https://www.drugs.com/cons/acthrel.html
258,Acticin,https://www.drugs.com/mtm/acticin.html
259,Acticlate,https://www.drugs.com/pro/acticlate.html
260,Actidose,https://www.drugs.com/pro/actidose.html
261,Actidose-Aqua,https://www.drugs.com/mtm/actidose-aqua.html
262,Actifed,https://www.drugs.com/actifed.html
263,Actifed Cold and Allergy,https://www.drugs.com/mtm/actifed-cold-and-allergy.html
264,Actigall,https://www.drugs.com/cons/actigall.html
265,Actimmune,https://www.drugs.com/mtm/actimmune.html
266,Actiq,https://www.drugs.com/actiq.html
267,Actisite,https://www.drugs.com/cons/actisite.html
268,Activase,https://www.drugs.com/mtm/activase.html
269,Activated charcoal,https://www.drugs.com/mtm/activated-charcoal.html
270,Activella,https://www.drugs.com/cons/activella.html
271,ActivICE,https://www.drugs.com/mtm/activice.html
272,Actonel,https://www.drugs.com/actonel.html
273,Actonel with Calcium,https://www.drugs.com/actonel_calcium.html
274,Actoplus Met,https://www.drugs.com/actoplus_met.html
275,Actoplus Met XR,https://www.drugs.com/mtm/actoplus-met-xr.html
276,Actos,https://www.drugs.com/actos.html
277,Acuflex,https://www.drugs.com/acuflex.html
278,Acular,https://www.drugs.com/mtm/acular.html
279,Acular LS,https://www.drugs.com/mtm/acular-ls.html
280,Acular PF,https://www.drugs.com/cons/acular-pf.html
281,Acunistat-30 Injection System,https://www.drugs.com/pro/acunistat-30-injection-system.html
282,Acunistat-60 Injection System,https://www.drugs.com/pro/acunistat-60-injection-system.html
283,Acunivive 15 Injection System,https://www.drugs.com/pro/acunivive-15-injection-system.html
284,Acunivive 30 Injection System,https://www.drugs.com/pro/acunivive-30-injection-system.html
285,Acunivive 60 Injection System,https://www.drugs.com/pro/acunivive-60-injection-system.html
286,Acunivive 90 Injection System,https://www.drugs.com/pro/acunivive-90-injection-system.html
287,Acunol,https://www.drugs.com/pro/acunol.html
288,Acuvail,https://www.drugs.com/acuvail.html
289,Acuvue Theravision with Ketotifen,https://www.drugs.com/pro/acuvue-theravision-with-ketotifen.html
290,Acyclovir,https://www.drugs.com/acyclovir.html
291,Acyclovir (Buccal mucosa),https://www.drugs.com/cons/acyclovir-buccal-mucosa.html
292,Acyclovir (Ophthalmic),https://www.drugs.com/cons/acyclovir-ophthalmic.html
293,"Acyclovir (Oral, Intravenous)",https://www.drugs.com/cons/acyclovir-oral-intravenous.html
294,Acyclovir and hydrocortisone,https://www.drugs.com/cons/acyclovir-and-hydrocortisone.html
295,Acyclovir and hydrocortisone topical,https://www.drugs.com/mtm/acyclovir-and-hydrocortisone-topical.html
296,Acyclovir Capsules,https://www.drugs.com/pro/acyclovir-capsules.html
297,Acyclovir Cream,https://www.drugs.com/pro/acyclovir-cream.html
298,Acyclovir injection,https://www.drugs.com/mtm/acyclovir-injection.html
299,Acyclovir IV Infusion,https://www.drugs.com/pro/acyclovir-iv-infusion.html
300,Acyclovir Ointment,https://www.drugs.com/pro/acyclovir-ointment.html
301,Acyclovir Oral Suspension,https://www.drugs.com/pro/acyclovir-oral-suspension.html
302,Acyclovir Tablets,https://www.drugs.com/pro/acyclovir-tablets.html
303,Acyclovir topical,https://www.drugs.com/mtm/acyclovir-topical.html
304,Acys-5,https://www.drugs.com/cons/acys-5.html
305,Aczone,https://www.drugs.com/aczone.html
306,About Drugs.com,https://www.drugs.com/support/about.html
307,Advertising policy,https://www.drugs.com/support/advertising.html
308,Attribution & citations,https://www.drugs.com/support/citations.html
309,Adacel,https://www.drugs.com/adacel.html
310,Adacel Tdap,https://www.drugs.com/mtm/adacel-tdap.html
311,Adagen,https://www.drugs.com/cons/adagen.html
312,Adagrasib,https://www.drugs.com/mtm/adagrasib.html
313,Adakveo,https://www.drugs.com/adakveo.html
314,Adakveo Injection,https://www.drugs.com/pro/adakveo-injection.html
315,Adalat CC,https://www.drugs.com/adalat.html
316,Adalimumab,https://www.drugs.com/adalimumab.html
317,Adalimumab Injection,https://www.drugs.com/pro/adalimumab-injection.html
318,Adalimumab-aacf,https://www.drugs.com/cons/adalimumab-aacf.html
319,Adalimumab-aaty,https://www.drugs.com/cons/adalimumab-aaty.html
320,Adalimumab-adaz,https://www.drugs.com/cons/adalimumab-adaz.html
321,Adalimumab-adbm,https://www.drugs.com/cons/adalimumab-adbm.html
322,Adalimumab-afzb,https://www.drugs.com/cons/adalimumab-afzb.html
323,Adalimumab-aqvh,https://www.drugs.com/cons/adalimumab-aqvh.html
324,Adalimumab-atto,https://www.drugs.com/cons/adalimumab-atto.html
325,Adalimumab-bwwd,https://www.drugs.com/cons/adalimumab-bwwd.html
326,Adalimumab-fkjp,https://www.drugs.com/cons/adalimumab-fkjp.html
327,Adalimumab-ryvk,https://www.drugs.com/pro/adalimumab-ryvk.html
328,"Adamts13, recombinant-krhn",https://www.drugs.com/cons/adamts13-recombinant-krhn.html
329,Adapalene,https://www.drugs.com/cons/adapalene.html
330,Adapalene and benzoyl peroxide,https://www.drugs.com/cons/adapalene-and-benzoyl-peroxide.html
331,Adapalene and Benzoyl Peroxide Gel,https://www.drugs.com/pro/adapalene-and-benzoyl-peroxide-gel.html
332,Adapalene and benzoyl peroxide topical,https://www.drugs.com/mtm/adapalene-and-benzoyl-peroxide-topical.html
333,Adapalene Cream,https://www.drugs.com/pro/adapalene-cream.html
334,Adapalene Solution,https://www.drugs.com/pro/adapalene-solution.html
335,Adapalene topical,https://www.drugs.com/mtm/adapalene-topical.html
336,Adasuve,https://www.drugs.com/adasuve.html
337,Adbry,https://www.drugs.com/adbry.html
338,Adcetris,https://www.drugs.com/adcetris.html
339,Adcirca,https://www.drugs.com/adcirca.html
340,Addamel N,https://www.drugs.com/pro/addamel-n.html
341,Addaprin,https://www.drugs.com/cons/addaprin.html
342,Adderall,https://www.drugs.com/adderall.html
343,Adderall XR,https://www.drugs.com/mtm/adderall-xr.html
344,Additive Formula 3,https://www.drugs.com/pro/additive-formula-3.html
345,Addyi,https://www.drugs.com/addyi.html
346,Adefovir,https://www.drugs.com/mtm/adefovir.html
347,Adefovir Dipivoxil,https://www.drugs.com/pro/adefovir-dipivoxil.html
348,Adempas,https://www.drugs.com/adempas.html
349,Adempas Tablets,https://www.drugs.com/pro/adempas-tablets.html
350,Adenocard,https://www.drugs.com/mtm/adenocard.html
351,Adenoscan,https://www.drugs.com/mtm/adenoscan.html
352,Adenosine,https://www.drugs.com/mtm/adenosine.html
353,Adenovirus Type 4-and Type-7 Vaccine Live,https://www.drugs.com/pro/adenovirus-type-4-and-type-7-vaccine-live.html
354,Adenovirus Vaccine,https://www.drugs.com/monograph/adenovirus-vaccine.html
355,"Adenovirus vaccine, live",https://www.drugs.com/cons/adenovirus-vaccine-live.html
356,Adhansia XR,https://www.drugs.com/pro/adhansia-xr.html
357,Adipex-P,https://www.drugs.com/adipex.html
358,Adlarity,https://www.drugs.com/adlarity.html
359,Adlarity skin patch,https://www.drugs.com/mtm/adlarity-skin-patch.html
360,Adlyxin,https://www.drugs.com/adlyxin.html
361,Admelog,https://www.drugs.com/admelog.html
362,Ado-trastuzumab emtansine,https://www.drugs.com/mtm/ado-trastuzumab-emtansine.html
363,Adoxa CK,https://www.drugs.com/cons/adoxa-ck.html
364,Adoxa Pak,https://www.drugs.com/cons/adoxa-pak.html
365,Adoxa TT,https://www.drugs.com/cons/adoxa-tt.html
366,Adrenaclick,https://www.drugs.com/cons/adrenaclick.html
367,Adrenalin,https://www.drugs.com/mtm/adrenalin.html
368,Adrenalin (Epinephrine Inhalation),https://www.drugs.com/cons/adrenalin-epinephrine-inhalation.html
369,Adrenalin (Epinephrine Injection),https://www.drugs.com/cons/adrenalin-epinephrine-injection.html
370,Adrenalin Chloride,https://www.drugs.com/cons/adrenalin-chloride.html
371,Adrenalin Injection,https://www.drugs.com/pro/adrenalin-injection.html
372,AdreView,https://www.drugs.com/adreview.html
373,Adriamycin,https://www.drugs.com/mtm/adriamycin.html
374,Adrucil,https://www.drugs.com/cons/adrucil.html
375,Adrucil injection,https://www.drugs.com/mtm/adrucil-injection.html
376,Adsol Red Cell Preservation System,https://www.drugs.com/pro/adsol-red-cell-preservation-system.html
377,Adstiladrin,https://www.drugs.com/adstiladrin.html
378,Adthyza,https://www.drugs.com/pro/adthyza.html
379,Aducanumab,https://www.drugs.com/mtm/aducanumab.html
380,Aducanumab-avwa,https://www.drugs.com/cons/aducanumab-avwa.html
381,Aduhelm,https://www.drugs.com/aduhelm.html
382,Adult Cough DM,https://www.drugs.com/mtm/adult-cough-dm.html
383,Advair,https://www.drugs.com/advair.html
384,Advair Diskus,https://www.drugs.com/mtm/advair-diskus.html
